,brand,model,year,price,color,condition,transmission,fuel_type,mileage
235,Jeep,Wrangler,2016,"$29,999.00",Blue,Used,NaN,Gasoline,"130,000"
236,Nissan,Versa,2014,"$8,595.00",Other,Used,Automatic,Other,"122,179"
237,Chevrolet,Silverado 2500,2019,"$80,000.00",White,Used,Automatic,NaN,"85,000"
238,Toyota,RAV4,2018,"$25,400.00",Black,Used,NaN,Gasoline,"50,137"
239,Other,Other,2012,"$4,995.00",Gold,Used,Automatic,Other,"210,500"
240,Mazda,3,2012,"$2,500.00",White,Used,NaN,NaN,"220,000"
241,Ford,Edge,2017,"$22,498.00",Other,Used,Automatic,Other,"81,718"
242,Hyundai,Santa Fe,2017,"$22,998.00",Other,Used,Automatic,Other,"74,486"
243,Toyota,Venza,2016,"$20,998.00",Other,Used,Automatic,Other,"69,224"
244,Honda,CR-V,2016,"$18,998.00",Other,Used,Automatic,Other,"72,897"
245,Toyota,RAV4,2017,"$19,998.00",Black,Used,Automatic,Other,"93,245"
246,Toyota,Camry,2016,"$16,998.00",Black,Used,Automatic,Other,"93,966"
247,Mazda,CX-3,2018,"$17,498.00",Other,Used,Automatic,Other,"63,156"
248,Nissan,Rogue,2017,"$16,498.00",Other,Used,Automatic,Other,"72,081"
249,Hyundai,Sonata,2018,"$16,399.00",Other,Used,Automatic,Other,"67,231"
250,Infiniti,QX70,2017,"$39,900.00",Black,Used,Automatic,Gasoline,"52,000"
251,Toyota,Corolla,2017,"$16,400.00",Blue,Used,NaN,Gasoline,"45,079"
252,Kia,Forte,2013,"$3,995.00",Silver,Used,Automatic,Gasoline,"221,150"
253,Toyota,Highlander,2015,"$27,400.00",Gold,Used,NaN,Gasoline,"93,005"
254,Toyota,RAV4,2017,"$19,900.00",Grey,Used,NaN,Gasoline,"66,128"
255,Mazda,Mazda3 Sport,2020,$230.00,NaN,Lease Takeover,Automatic,Gasoline,"10,600"
256,Hyundai,Genesis Coupe,2010,"$5,995.00",Grey,Used,Automatic,Gasoline,"245,800"
257,Hyundai,Santa Fe,2014,"$11,595.00",Silver,Used,Automatic,Other,"111,135"
258,Toyota,Corolla,2017,"$14,800.00",Silver,Used,NaN,Gasoline,"61,691"
259,Ram,1500,2013,"$14,995.00",Red,Used,Automatic,Gasoline,"250,900"
260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
264,Toyota,RAV4,2017,"$27,800.00",Blue,Used,NaN,Gasoline,"65,560"
265,Chevrolet,Cruze,2012,"$3,900.00",NaN,Used,Automatic,Gasoline,"201,000"
266,Volkswagen,Routan,2010,"$5,495.00",White,Used,Automatic,Gasoline,"206,667"
267,Lexus,IS,2014,"$20,988.00",Silver,Used,NaN,Gasoline,"85,057"
268,Volkswagen,GLI,2013,"$9,395.00",Black,Used,Manual,Gasoline,"186,818"
269,Kia,Optima,2016,"$14,988.00",White,Used,Automatic,Gasoline,"98,400"
270,Honda,CR-V,2018,"$25,388.00",Silver,Used,Automatic,Gasoline,"59,840"
